relative_path,extension,size_bytes,size_kb,last_modified,category,recommended_for
.codewhale/instructions.md,.md,7557,7.38,2026-06-10T00:11:16,unknown,avoid_unless_needed
.gitignore,,52,0.05,2026-06-08T04:06:27,unknown,avoid_unless_needed
adaptive_interface_preview.py,.py,12656,12.36,2026-06-08T04:06:27,unknown,avoid_unless_needed
agent_action_engine_preview.py,.py,3810,3.72,2026-06-11T22:51:51,layer40,layer_validation
agent_collaboration_runtime_preview.py,.py,4095,4.0,2026-06-11T22:27:59,layer39,layer_validation
agent_constitution_engine_preview.py,.py,9146,8.93,2026-06-09T16:30:27,layer37,layer_validation
agent_continuity_runtime_preview.py,.py,4021,3.93,2026-06-11T22:27:59,layer39,layer_validation
agent_core_preview.py,.py,7109,6.94,2026-06-11T21:28:29,layer37,layer_validation
agent_decision_trace.py,.py,7862,7.68,2026-06-08T04:06:27,unknown,avoid_unless_needed
agent_deployment_executor_preview.py,.py,3748,3.66,2026-06-11T22:51:51,layer40,layer_validation
agent_execution_core_preview.py,.py,4294,4.19,2026-06-11T22:51:51,layer40,layer_validation
agent_execution_master_status_preview.py,.py,5068,4.95,2026-06-11T22:51:51,layer40,layer_validation
agent_execution_orchestrator_preview.py,.py,3540,3.46,2026-06-11T22:51:51,layer40,layer_validation
agent_execution_recovery_coordinator_preview.py,.py,3751,3.66,2026-06-11T22:51:51,layer40,layer_validation
agent_execution_supervisor_preview.py,.py,3767,3.68,2026-06-11T22:51:51,layer40,layer_validation
agent_lifecycle_runtime_preview.py,.py,4147,4.05,2026-06-11T22:27:59,layer39,layer_validation
agent_memory_loop_runtime_preview.py,.py,4080,3.98,2026-06-11T22:27:59,layer39,layer_validation
agent_recovery_resilience_runtime_preview.py,.py,4216,4.12,2026-06-11T22:27:59,layer39,layer_validation
agent_runtime_consolidation_preview.py,.py,4331,4.23,2026-06-11T22:27:59,layer39,layer_validation
agent_runtime_core_preview.py,.py,4195,4.1,2026-06-11T22:27:59,layer39,layer_validation
agent_runtime_master_status_preview.py,.py,5310,5.19,2026-06-11T22:27:59,layer39,layer_validation
agent_scaffold.py,.py,30802,30.08,2026-06-08T04:06:27,unknown,avoid_unless_needed
agent_session_runtime_preview.py,.py,4042,3.95,2026-06-11T22:27:59,layer39,layer_validation
agent_task_executor_preview.py,.py,3770,3.68,2026-06-11T22:51:51,layer40,layer_validation
agent_verification_executor_preview.py,.py,3767,3.68,2026-06-11T22:51:51,layer40,layer_validation
agent_workspace_executor_preview.py,.py,3666,3.58,2026-06-11T22:51:51,layer40,layer_validation
agent_workspace_runtime_preview.py,.py,4230,4.13,2026-06-11T22:27:59,layer39,layer_validation
ambient_workspace_preview.py,.py,12531,12.24,2026-06-08T04:06:27,unknown,avoid_unless_needed
app.py,.py,640961,625.94,2026-06-11T23:13:36,app_core,avoid_unless_needed
audio_privacy_boundary.py,.py,3711,3.62,2026-06-08T04:06:27,unknown,avoid_unless_needed
audio_signal_schema.py,.py,7019,6.85,2026-06-08T04:06:27,unknown,avoid_unless_needed
autonomous_agent_operating_model_preview.py,.py,5076,4.96,2026-06-11T22:12:50,layer38,layer_validation
autonomous_engineering_coordinator_preview.py,.py,24144,23.58,2026-06-11T21:47:44,unknown,avoid_unless_needed
autonomous_execution_decision_intelligence_preview.py,.py,4196,4.1,2026-06-11T22:12:50,layer38,layer_validation
autonomous_execution_governance_intelligence_preview.py,.py,4118,4.02,2026-06-11T22:12:50,layer38,layer_validation
autonomous_execution_planning_intelligence_preview.py,.py,4053,3.96,2026-06-11T22:12:50,layer38,layer_validation
autonomous_execution_simulation_intelligence_preview.py,.py,4187,4.09,2026-06-11T22:12:50,layer38,layer_validation
autonomous_execution_strategy_intelligence_preview.py,.py,4153,4.06,2026-06-11T22:12:50,layer38,layer_validation
autonomous_operations_continuity_preview.py,.py,4257,4.16,2026-06-11T23:11:34,layer41,layer_validation
autonomous_operations_core_preview.py,.py,4216,4.12,2026-06-11T23:11:34,layer41,layer_validation
autonomous_operations_governance_preview.py,.py,4313,4.21,2026-06-11T23:11:34,layer41,layer_validation
autonomous_operations_master_status_preview.py,.py,6223,6.08,2026-06-11T23:20:09,layer41,layer_validation
autonomous_operations_monitoring_preview.py,.py,4243,4.14,2026-06-11T23:11:34,layer41,layer_validation
